,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,param_model__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,234.7564914226532,21.459346010782777,0.07644467353820801,0.005520989951164269,1000.0,l1,liblinear,"{'model__C': 1000.0, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.3159618269990819,0.3174109711480219,0.3185567592980983,0.31775828045040405,0.3126465707195727,0.3164668817230357,0.0020869336468387063,26
75,1350.1079985618592,48.071749113721005,0.041246652603149414,0.009895045134549764,1000.0,l2,newton-cg,"{'model__C': 1000.0, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.31668564595511456,0.31800076108023784,0.3200518431483435,0.3188519729150902,0.3138494636124339,0.317487937342244,0.002125057964629252,20
76,51.99550061225891,1.8680297517128954,0.07680459022521972,0.003739685583745158,1000.0,l2,lbfgs,"{'model__C': 1000.0, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.34220535412943115,0.34425191918112524,0.34605774630814223,0.3421015555821787,0.3399783725103517,0.3429189895422458,0.002071385901633196,3
77,85.05310182571411,3.8009156418820913,0.07315168380737305,0.0034433061650113394,1000.0,l2,liblinear,"{'model__C': 1000.0, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.31608507036440475,0.3181457127298533,0.319942977663602,0.3184129570415716,0.3130085130379279,0.3171190461674719,0.0023945115262060486,22
78,28.665840768814085,0.7687059542427063,0.0,0.0,1000.0,elasticnet,newton-cg,"{'model__C': 1000.0, 'model__penalty': 'elasticnet', 'model__solver': 'newton-cg'}",,,,,,,,44
79,27.537627267837525,1.0084200451934402,0.0,0.0,1000.0,elasticnet,lbfgs,"{'model__C': 1000.0, 'model__penalty': 'elasticnet', 'model__solver': 'lbfgs'}",,,,,,,,45
80,27.210727548599245,0.7842796884907894,0.0,0.0,1000.0,elasticnet,liblinear,"{'model__C': 1000.0, 'model__penalty': 'elasticnet', 'model__solver': 'liblinear'}",,,,,,,,46
81,27.30300178527832,1.6726376157854144,0.0,0.0,1000.0,,newton-cg,"{'model__C': 1000.0, 'model__penalty': None, 'model__solver': 'newton-cg'}",,,,,,,,47
82,27.44527473449707,1.4067455473777855,0.0,0.0,1000.0,,lbfgs,"{'model__C': 1000.0, 'model__penalty': None, 'model__solver': 'lbfgs'}",,,,,,,,74
83,28.046246194839476,1.049662705331978,0.0,0.0,1000.0,,liblinear,"{'model__C': 1000.0, 'model__penalty': None, 'model__solver': 'liblinear'}",,,,,,,,84
