,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,468.74971013069154,7.359065415989598,2.0160396099090576,0.060136065203147286,balanced,gini,0.5,1,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 500}",0.4625011512238521,0.4620003693464018,0.4600089240089696,0.46532206528909315,0.45715762579390895,0.46139802713244504,0.0027161879669159563,28
15,85.51550550460816,2.9060891642856457,0.6884790897369385,0.05798118673568181,balanced,gini,0.5,10,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 0.5, 'min_samples_leaf': 10, 'n_estimators': 100}",0.41732257399359246,0.4145696736214308,0.4163723236248233,0.42134176882833246,0.40943186437305956,0.41580764088824773,0.00388390396609436,41
16,169.50590138435365,6.220625576380132,0.8838201045989991,0.03309728530496655,balanced,gini,0.5,10,200,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 0.5, 'min_samples_leaf': 10, 'n_estimators': 200}",0.41867204940295344,0.41506010182500097,0.41961407891971586,0.42578024042031876,0.4132801279232153,0.41848131969824093,0.0043209001978301775,38
17,395.2443886756897,5.089488635117721,1.3360445499420166,0.04457674466850092,balanced,gini,0.5,10,500,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 0.5, 'min_samples_leaf': 10, 'n_estimators': 500}",0.4216539032595087,0.41700361316690476,0.4206934612793364,0.427926123854085,0.41749530501664317,0.42095448131529556,0.003917560005794553,37
18,26.642773342132568,0.5123151661374719,0.7541916847229004,0.018784396284002938,balanced,entropy,sqrt,1,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.4626724436229979,0.46463317788313896,0.45902359670542364,0.4649211753613566,0.45558347348595263,0.46136677341177396,0.0035761706111262456,29
19,53.89234528541565,0.7301138676116765,1.2234981536865235,0.05013807469551408,balanced,entropy,sqrt,1,200,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.46324686605960697,0.4645512480568592,0.4605263020534093,0.4665664168170462,0.45758885828405627,0.4624959382541956,0.0031405696069752033,20
20,135.79244980812072,2.9220993507297104,2.0630720138549803,0.05873997749682128,balanced,entropy,sqrt,1,500,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 500}",0.4626039742010807,0.46392338812153305,0.4612360167164693,0.4659861362024652,0.4545359773801358,0.4616570985243368,0.0038900099111320568,24
21,20.739982271194457,0.2368895476840788,0.6845846176147461,0.07219947719242471,balanced,entropy,sqrt,10,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",0.3839017392384207,0.3889636380788156,0.3937656843787279,0.3971329083878577,0.38727886273616446,0.3902085665639973,0.0047012483280126985,48
22,39.971528911590575,1.8484085214952637,0.8386605739593506,0.06957670919195773,balanced,entropy,sqrt,10,200,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",0.38750140589228343,0.3907926192709908,0.3921473578616287,0.39587497299167174,0.39094842298686583,0.39145295580068806,0.0026959886732285192,47
23,91.80863060951233,1.9647884727001748,1.3263359546661377,0.07155315767428232,balanced,entropy,sqrt,10,500,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 500}",0.39287118497543777,0.3914432779593979,0.39472069916627067,0.3992412146640831,0.39658967460853745,0.3949732102747454,0.0027485091515072188,44
